date,top10_Liquid,top10_Market
2017-03-02,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'XRP', 'ETC', 'ZEC', 'REP', 'MAID']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-03,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ETC', 'XRP', 'ZEC', 'XEM', 'MAID']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-04,"['BTC', 'ETH', 'DASH', 'LTC', 'ETC', 'XMR', 'ZEC', 'XRP', 'MAID', 'XEM']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-05,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ETC', 'XRP', 'ZEC', 'XEM', 'REP']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-06,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'XEM', 'ZEC', 'ETC', 'XRP', 'WAVES']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-07,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'XRP', 'ETC', 'ZEC', 'DCR', 'XEM']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-08,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'XRP', 'ETC', 'ZEC', 'XEM', 'DCR']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-09,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'XRP', 'ETC', 'ZEC', 'XEM', 'MAID']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-10,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ETC', 'XRP', 'ZEC', 'MAID', 'REP']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-11,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ETC', 'XRP', 'ZEC', 'MAID', 'REP']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'XEM', 'MAID', 'REP']"
2017-03-12,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ETC', 'ZEC', 'XRP', 'DCR', 'WAVES']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-13,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'ETC', 'ZEC', 'XRP', 'REP', 'DCR']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-14,"['BTC', 'ETH', 'DASH', 'XMR', 'ETC', 'LTC', 'ZEC', 'XRP', 'REP', 'LSK']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-15,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ETC', 'ZEC', 'REP', 'XRP', 'DGD']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'REP', 'XEM', 'MAID']"
2017-03-16,"['BTC', 'ETH', 'DASH', 'XMR', 'ETC', 'LTC', 'REP', 'ZEC', 'XRP', 'MAID']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'REP', 'XEM', 'MAID']"
2017-03-17,"['BTC', 'ETH', 'DASH', 'XMR', 'ETC', 'LTC', 'ZEC', 'XRP', 'REP', 'MLN']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-18,"['BTC', 'ETH', 'DASH', 'ZEC', 'XMR', 'LTC', 'ETC', 'XRP', 'STEEM', 'REP']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-19,"['BTC', 'ETH', 'DASH', 'XMR', 'ZEC', 'ETC', 'LTC', 'XRP', 'XEM', 'STEEM']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-20,"['BTC', 'ETH', 'DASH', 'XMR', 'ZEC', 'ETC', 'LTC', 'XRP', 'XEM', 'PIVX']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-21,"['BTC', 'ETH', 'DASH', 'ETC', 'XMR', 'ZEC', 'LSK', 'LTC', 'XRP', 'SC']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'ETC', 'LTC', 'XEM', 'REP', 'MAID']"
2017-03-22,"['BTC', 'ETH', 'DASH', 'ETC', 'XMR', 'LTC', 'XRP', 'ZEC', 'PIVX', 'MAID']","['BTC', 'ETH', 'DASH', 'XMR', 'XRP', 'ETC', 'LTC', 'XEM', 'REP', 'MAID']"
2017-03-23,"['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'ETC', 'PIVX', 'LTC', 'ZEC', 'DCR']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'ETC', 'LTC', 'XEM', 'REP', 'MAID']"
2017-03-24,"['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'ZEC', 'PIVX', 'XLM']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'ETC', 'LTC', 'XEM', 'REP', 'MAID']"
2017-03-25,"['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'ZEC', 'PIVX', 'REP']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'ETC', 'LTC', 'XEM', 'REP', 'MAID']"
