Date,BITW100
Wed Sep 13 2017 00:00:00 GMT+0000,6674.26
Thu Sep 14 2017 00:00:00 GMT+0000,6316.51
Fri Sep 15 2017 00:00:00 GMT+0000,4981.85
Sat Sep 16 2017 00:00:00 GMT+0000,5748.61
Sun Sep 17 2017 00:00:00 GMT+0000,5712.9
Mon Sep 18 2017 00:00:00 GMT+0000,5719.34
Tue Sep 19 2017 00:00:00 GMT+0000,6484.86
Wed Sep 20 2017 00:00:00 GMT+0000,6262.99
Thu Sep 21 2017 00:00:00 GMT+0000,6199.77
Fri Sep 22 2017 00:00:00 GMT+0000,5697.98
Sat Sep 23 2017 00:00:00 GMT+0000,5760.8
Sun Sep 24 2017 00:00:00 GMT+0000,6056.66
Mon Sep 25 2017 00:00:00 GMT+0000,5900.4
Tue Sep 26 2017 00:00:00 GMT+0000,6274.94
Wed Sep 27 2017 00:00:00 GMT+0000,6223.99
Thu Sep 28 2017 00:00:00 GMT+0000,6703.84
Fri Sep 29 2017 00:00:00 GMT+0000,6610.02
Sat Sep 30 2017 00:00:00 GMT+0000,6515.92
Sun Oct 01 2017 00:00:00 GMT+0000,6761.86
Mon Oct 02 2017 00:00:00 GMT+0000,6805.89
Tue Oct 03 2017 00:00:00 GMT+0000,6751.59
Wed Oct 04 2017 00:00:00 GMT+0000,6606.64
Thu Oct 05 2017 00:00:00 GMT+0000,6490.19
Fri Oct 06 2017 00:00:00 GMT+0000,6631.28
Sat Oct 07 2017 00:00:00 GMT+0000,6729.12
Sun Oct 08 2017 00:00:00 GMT+0000,6799.34
Mon Oct 09 2017 00:00:00 GMT+0000,6919.73
Tue Oct 10 2017 00:00:00 GMT+0000,6853.12
Wed Oct 11 2017 00:00:00 GMT+0000,6943.32
Thu Oct 12 2017 00:00:00 GMT+0000,7023.4
Fri Oct 13 2017 00:00:00 GMT+0000,7436.18
Sat Oct 14 2017 00:00:00 GMT+0000,7780.32
Sun Oct 15 2017 00:00:00 GMT+0000,7936.25
Mon Oct 16 2017 00:00:00 GMT+0000,7812.28
Tue Oct 17 2017 00:00:00 GMT+0000,7847.41
Wed Oct 18 2017 00:00:00 GMT+0000,7665.36
Thu Oct 19 2017 00:00:00 GMT+0000,7561.76
Fri Oct 20 2017 00:00:00 GMT+0000,7592.88
Sat Oct 21 2017 00:00:00 GMT+0000,7734.08
Sun Oct 22 2017 00:00:00 GMT+0000,7725.17
Mon Oct 23 2017 00:00:00 GMT+0000,7669.14
Tue Oct 24 2017 00:00:00 GMT+0000,7519.4
Wed Oct 25 2017 00:00:00 GMT+0000,7382.41
Thu Oct 26 2017 00:00:00 GMT+0000,7533.17
Fri Oct 27 2017 00:00:00 GMT+0000,7620.72
Sat Oct 28 2017 00:00:00 GMT+0000,7564.41
Sun Oct 29 2017 00:00:00 GMT+0000,7546.88
Mon Oct 30 2017 00:00:00 GMT+0000,7915.86
Tue Oct 31 2017 00:00:00 GMT+0000,7939.63
Wed Nov 01 2017 00:00:00 GMT+0000,8117.82
Thu Nov 02 2017 00:00:00 GMT+0000,8300.29
Fri Nov 03 2017 00:00:00 GMT+0000,8570.33
Sat Nov 04 2017 00:00:00 GMT+0000,8815.92
Sun Nov 05 2017 00:00:00 GMT+0000,8921.27
Mon Nov 06 2017 00:00:00 GMT+0000,8917.39
Tue Nov 07 2017 00:00:00 GMT+0000,8659.62
Wed Nov 08 2017 00:00:00 GMT+0000,8794.23
Thu Nov 09 2017 00:00:00 GMT+0000,9235.5
Fri Nov 10 2017 00:00:00 GMT+0000,9193.91
Sat Nov 11 2017 00:00:00 GMT+0000,8830.77
Sun Nov 12 2017 00:00:00 GMT+0000,9051.96
Mon Nov 13 2017 00:00:00 GMT+0000,8767.54
Tue Nov 14 2017 00:00:00 GMT+0000,9276.35
Wed Nov 15 2017 00:00:00 GMT+0000,9425.31
Thu Nov 16 2017 00:00:00 GMT+0000,9904.62
Fri Nov 17 2017 00:00:00 GMT+0000,10057.71
Sat Nov 18 2017 00:00:00 GMT+0000,10263.31
Sun Nov 19 2017 00:00:00 GMT+0000,10524.95
Mon Nov 20 2017 00:00:00 GMT+0000,10668.27
Tue Nov 21 2017 00:00:00 GMT+0000,10953.22
Wed Nov 22 2017 00:00:00 GMT+0000,10742.42
